Image,Label
data\train\166.jpg,3
data\train\1660.jpg,1
data\train\1661.jpg,4
data\train\1662.jpg,0
data\train\1663.jpg,3
data\train\1664.jpg,1
data\train\1665.jpg,4
data\train\1666.jpg,3
data\train\1667.jpg,1
data\train\1668.jpg,3
data\train\1669.jpg,4
data\train\167.jpg,1
data\train\1670.jpg,4
data\train\1671.jpg,1
data\train\1672.jpg,2
data\train\1673.jpg,1
data\train\1674.jpg,1
data\train\1675.jpg,3
data\train\1676.jpg,2
data\train\1677.jpg,1
data\train\1678.jpg,3
data\train\1679.jpg,1
data\train\168.jpg,0
data\train\1680.jpg,1
data\train\1681.jpg,4
data\train\1682.jpg,4
data\train\1683.jpg,0
data\train\1684.jpg,1
data\train\1685.jpg,2
data\train\1686.jpg,4
data\train\1687.jpg,1
data\train\1688.jpg,0
data\train\1689.jpg,2
data\train\169.jpg,0
data\train\1690.jpg,1
data\train\1691.jpg,4
data\train\1692.jpg,3
data\train\1693.jpg,2
data\train\1694.jpg,3
data\train\1695.jpg,2
data\train\1696.jpg,2
data\train\1697.jpg,2
data\train\1698.jpg,2
data\train\1699.jpg,2
data\train\17.jpg,0
data\train\170.jpg,2
data\train\1700.jpg,1
data\train\1701.jpg,0
data\train\1702.jpg,1
data\train\1703.jpg,0
data\train\1704.jpg,2
data\train\1705.jpg,4
data\train\1706.jpg,1
data\train\1707.jpg,0
data\train\1708.jpg,3
data\train\1709.jpg,4
data\train\171.jpg,0
data\train\1710.jpg,2
data\train\1711.jpg,4
data\train\1712.jpg,1
data\train\1713.jpg,4
data\train\1714.jpg,3
data\train\1715.jpg,1
data\train\1716.jpg,0
data\train\1717.jpg,2
data\train\1718.jpg,3
data\train\1719.jpg,3
data\train\172.jpg,3
data\train\1720.jpg,4
data\train\1721.jpg,2
data\train\1722.jpg,3
data\train\1723.jpg,3
data\train\1724.jpg,2
data\train\1725.jpg,3
data\train\1726.jpg,4
data\train\1727.jpg,2
data\train\1728.jpg,2
data\train\1729.jpg,2
data\train\173.jpg,4
data\train\1730.jpg,0
data\train\1731.jpg,1
data\train\1732.jpg,3
data\train\1733.jpg,0
data\train\1734.jpg,4
data\train\1735.jpg,0
data\train\1736.jpg,2
data\train\1737.jpg,3
data\train\1738.jpg,1
data\train\1739.jpg,2
data\train\174.jpg,0
data\train\1740.jpg,4
data\train\1741.jpg,3
data\train\1742.jpg,4
data\train\1743.jpg,1
data\train\1744.jpg,3
data\train\1745.jpg,2
data\train\1746.jpg,2
data\train\1747.jpg,3
data\train\1748.jpg,1
data\train\1749.jpg,0
data\train\175.jpg,4
data\train\1750.jpg,2
data\train\1751.jpg,4
data\train\1752.jpg,2
data\train\1753.jpg,0
data\train\1754.jpg,1
data\train\1755.jpg,3
data\train\1756.jpg,0
data\train\1757.jpg,2
data\train\1758.jpg,1
data\train\1759.jpg,3
data\train\176.jpg,4
data\train\1760.jpg,3
data\train\1761.jpg,0
data\train\1762.jpg,0
data\train\1763.jpg,4
data\train\1764.jpg,0
data\train\1765.jpg,0
data\train\1766.jpg,3
data\train\1767.jpg,4
data\train\1768.jpg,0
data\train\1769.jpg,1
data\train\177.jpg,0
data\train\1770.jpg,1
data\train\1771.jpg,3
data\train\1772.jpg,1
data\train\1773.jpg,0
data\train\1774.jpg,4
data\train\1775.jpg,2
data\train\1776.jpg,4
data\train\1777.jpg,0
data\train\1778.jpg,3
data\train\1779.jpg,4
data\train\178.jpg,0
data\train\1780.jpg,3
data\train\1781.jpg,3
data\train\1782.jpg,3
data\train\1783.jpg,3
data\train\1784.jpg,4
data\train\1785.jpg,2
data\train\1786.jpg,0
data\train\1787.jpg,4
data\train\1788.jpg,1
data\train\1789.jpg,2
data\train\179.jpg,1
data\train\1790.jpg,0
data\train\1791.jpg,2
data\train\1792.jpg,4
data\train\1793.jpg,3
data\train\1794.jpg,0
data\train\1795.jpg,2
data\train\1796.jpg,3
data\train\1797.jpg,2
data\train\1798.jpg,0
data\train\1799.jpg,2
data\train\18.jpg,4
data\train\180.jpg,1
data\train\1800.jpg,2
data\train\1801.jpg,1
data\train\1802.jpg,0
data\train\1803.jpg,4
data\train\1804.jpg,4
data\train\1805.jpg,0
data\train\1806.jpg,1
data\train\1807.jpg,1
data\train\1808.jpg,1
data\train\1809.jpg,1
data\train\181.jpg,3
data\train\1810.jpg,1
data\train\1811.jpg,0
data\train\1812.jpg,0
data\train\1813.jpg,1
data\train\1814.jpg,0
data\train\1815.jpg,1
data\train\1816.jpg,4
data\train\1817.jpg,1
data\train\1818.jpg,2
data\train\1819.jpg,1
data\train\182.jpg,1
data\train\1820.jpg,0
data\train\1821.jpg,2
data\train\1822.jpg,2
data\train\1823.jpg,0
data\train\1824.jpg,0
data\train\1825.jpg,1
data\train\1826.jpg,3
data\train\1827.jpg,3
data\train\1828.jpg,1
data\train\1829.jpg,1
data\train\183.jpg,0
data\train\1830.jpg,1
data\train\1831.jpg,1
data\train\1832.jpg,0
data\train\1833.jpg,3
data\train\1834.jpg,2
data\train\1835.jpg,4
data\train\1836.jpg,0
data\train\1837.jpg,3
data\train\1838.jpg,3
data\train\1839.jpg,1
data\train\184.jpg,2
data\train\1840.jpg,1
data\train\1841.jpg,0
data\train\1842.jpg,1
data\train\1843.jpg,2
data\train\1844.jpg,3
data\train\1845.jpg,0
data\train\1846.jpg,2
data\train\1847.jpg,4
data\train\1848.jpg,2
data\train\1849.jpg,4
data\train\185.jpg,1
data\train\1850.jpg,4
data\train\1851.jpg,1
data\train\1852.jpg,3
data\train\1853.jpg,2
data\train\1854.jpg,2
data\train\1855.jpg,1
data\train\1856.jpg,4
data\train\1857.jpg,4
data\train\1858.jpg,3
data\train\1859.jpg,4
data\train\186.jpg,1
data\train\1860.jpg,1
data\train\1861.jpg,2
data\train\1862.jpg,3
data\train\1863.jpg,4
data\train\1864.jpg,4
data\train\1865.jpg,2
data\train\1866.jpg,4
data\train\1867.jpg,4
data\train\1868.jpg,2
data\train\1869.jpg,4
data\train\187.jpg,1
data\train\1870.jpg,1
data\train\1871.jpg,4
data\train\1872.jpg,0
data\train\1873.jpg,3
data\train\1874.jpg,0
data\train\1875.jpg,4
data\train\1876.jpg,0
data\train\1877.jpg,0
data\train\1878.jpg,3
data\train\1879.jpg,1
data\train\188.jpg,3
data\train\1880.jpg,1
data\train\1881.jpg,4
data\train\1882.jpg,1
data\train\1883.jpg,4
data\train\1884.jpg,2
data\train\1885.jpg,1
data\train\1886.jpg,1
data\train\1887.jpg,3
data\train\1888.jpg,0
data\train\1889.jpg,2
data\train\189.jpg,1
data\train\1890.jpg,3
data\train\1891.jpg,2
data\train\1892.jpg,0
data\train\1893.jpg,3
data\train\1894.jpg,0
data\train\1895.jpg,4
data\train\1896.jpg,1
data\train\1897.jpg,1
data\train\1898.jpg,4
data\train\1899.jpg,0
data\train\19.jpg,4
data\train\190.jpg,4
data\train\1900.jpg,2
data\train\1901.jpg,0
data\train\1902.jpg,1
data\train\1903.jpg,2
data\train\1904.jpg,1
data\train\1905.jpg,3
data\train\1906.jpg,4
data\train\1907.jpg,4
data\train\1908.jpg,2
data\train\1909.jpg,4
data\train\191.jpg,0
data\train\1910.jpg,1
data\train\1911.jpg,3
data\train\1912.jpg,1
data\train\1913.jpg,0
data\train\1914.jpg,0
data\train\1915.jpg,1
data\train\1916.jpg,0
data\train\1917.jpg,0
data\train\1918.jpg,1
data\train\1919.jpg,1
data\train\192.jpg,4
data\train\1920.jpg,4
data\train\1921.jpg,4
data\train\1922.jpg,3
data\train\1923.jpg,2
data\train\1924.jpg,1
data\train\1925.jpg,3
data\train\1926.jpg,2
data\train\1927.jpg,0
data\train\1928.jpg,4
data\train\1929.jpg,3
data\train\193.jpg,3
data\train\1930.jpg,1
data\train\1931.jpg,3
data\train\1932.jpg,1
data\train\1933.jpg,2
data\train\1934.jpg,1
data\train\1935.jpg,1
data\train\1936.jpg,1
data\train\1937.jpg,0
data\train\1938.jpg,1
data\train\1939.jpg,3
data\train\194.jpg,2
data\train\1940.jpg,0
data\train\1941.jpg,2
data\train\1942.jpg,1
data\train\1943.jpg,1
data\train\1944.jpg,0
data\train\1945.jpg,2
data\train\1946.jpg,3
data\train\1947.jpg,3
data\train\1948.jpg,3
data\train\1949.jpg,0
data\train\195.jpg,3
data\train\1950.jpg,4
data\train\1951.jpg,2
data\train\1952.jpg,4
data\train\1953.jpg,1
data\train\1954.jpg,1
data\train\1955.jpg,3
data\train\1956.jpg,3
data\train\1957.jpg,1
data\train\1958.jpg,2
data\train\1959.jpg,0
data\train\196.jpg,1
data\train\1960.jpg,4
data\train\1961.jpg,2
data\train\1962.jpg,0
data\train\1963.jpg,4
data\train\1964.jpg,0
data\train\1965.jpg,1
data\train\1966.jpg,3
data\train\1967.jpg,0
data\train\1968.jpg,1
data\train\1969.jpg,4
data\train\197.jpg,4
data\train\1970.jpg,2
data\train\1971.jpg,3
data\train\1972.jpg,2
data\train\1973.jpg,1
